sat_key,former_code,unique_code,description,pieces_per_package,number_of_pieces,accesories_kit,supplier,exterior_color_or_design,product_type,line,classification,main_material,resistance_main_material,design_type,impression,warehouse,rack,level,wholesale,retail,sat_unit_key,wholesale_unit,only_measure,outer_length,inner_length,price,child,parent,factor,average,stores_discount,retails_discount,discount_when_armed
14121500,2303,2303O,Hexagono 3 charolas orquidea,1,1,,Comercializadora de Cartón y Diseño,Orquidea,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303ROJO,Hexagono 3 charolas rojo,1,1,,Comercializadora de Cartón y Diseño,Rojo,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303ROSA,Hexagono 3 charolas rosa,1,1,,Comercializadora de Cartón y Diseño,Rosa,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303V,Hexagono 3 charolas verde,1,1,,Comercializadora de Cartón y Diseño,Verde,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2304,2304AM,Lapicero c/divisiones amarillo,1,1,,Comercializadora de Cartón y Diseño,Amarillo,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304AZ,Lapicero c/divisiones azul,1,1,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304AZM,Lapicero c/divisiones azul marino,1,1,,Comercializadora de Cartón y Diseño,Azul Marino,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304F,Lapicero c/divisiones fiusha,1,1,,Comercializadora de Cartón y Diseño,Fiusha,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304N,Lapicero c/divisiones naranja,1,1,,Comercializadora de Cartón y Diseño,Naranja,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304O,Lapicero c/divisiones orquidea,1,1,,Comercializadora de Cartón y Diseño,Orquidea,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304ROJO,Lapicero c/divisiones rojo,1,1,,Comercializadora de Cartón y Diseño,Rojo,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
14121500,2304,2304ROSA,Lapicero c/divisiones rosa,1,1,,Comercializadora de Cartón y Diseño,Rosa,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,8.5 x 8.5 x 9.5,,,33.19,,,,,35,35,
